#  ID	"RA	"	DEC	MAG_F160W	MAGERR_F160W	FWHM	STELLARITY	ELLIPTICITY	THETA	Z_BPZ	ZMIN_BPZ	ZMAX_BPZ	ODDS_BPZ	CHISQ2_BPZ	STAR	WEIGHT	NRS_F110W	NRS_F140X	NRS_CLEAR	REFERENCE
8384	53.18243495	-27.77603063	27.656	0.054	17.73	0	0.068	-68.4	6.444	6.04	6.84	0.976	0.858	0	300	27.743	27.755	27.656	FALSE
7566	53.18247561	-27.78085107	29.067	0.21	6.28	0.58	0.296	-32.5	6.44	5.3	6.93	0.888	0.577	0	300	29.055	29.568	29.067	FALSE
3797	53.1725613	-27.79736413	28.368	0.178	14.87	0	0.433	14.7	6.44	5.6	6.84	0.927	0.487	0	300	28.312	28.213	28.368	FALSE
21531	53.16418327	-27.79983183	27.634	0.051	14.47	0	0.101	43.3	6.429	6.08	6.77	0.991	0.275	0	300	27.622	27.567	27.634	FALSE
6221	53.14606728	-27.79449599	26.831	0.026	20.49	0	0.054	83.5	6.428	6.08	6.77	0.991	0.2	0	300	27.236	26.956	26.831	FALSE
7919	53.16679656	-27.76437467	29.013	0.289	7.18	0.68	0.286	11.9	6.42	0.7	6.86	0.617	0.796	0	300	28.712	28.911	29.013	FALSE
9302	53.17664642	-27.77339835	28.987	0.152	11.76	0	0.259	6.9	6.413	5.9	6.88	0.937	0.426	0	300	28.849	28.776	28.987	FALSE
10363	53.17784953	-27.78536282	26.81	0.093	20.16	0	0.525	39.3	6.4	5.96	6.83	0.96	0.282	0	300	27.079	26.824	26.81	FALSE
21998	53.13928065	-27.79579998	26.762	0.197	4.24	0.23	0.17	-56.3	6.397	6.05	6.73	0.992	0.047	0	300	26.538	-99	26.762	FALSE
8385	53.17262575	-27.76701006	27.237	0.056	18.92	0	0.47	60.8	6.394	6.05	6.72	0.993	0.383	0	300	27.132	27.095	27.237	FALSE
6984	53.16427704	-27.7840517	28.927	0.155	10.85	0	0.256	-87.7	6.389	5.97	6.79	0.971	1.104	0	300	28.66	28.869	28.927	FALSE
553	53.17585346	-27.81999856	27.652	0.256	9.77	0	0.264	-84.8	6.388	5.98	6.76	0.978	0.162	0	300	27.688	-99	27.652	FALSE
8818	53.15610015	-27.77577589	26.474	0.021	26.48	0	0.163	-72.1	6.379	6.05	6.7	0.995	0.167	0	300	26.746	26.575	26.474	FALSE
1912	53.18390819	-27.8075244	27.54	0.197	8.33	0	0.063	-14	6.369	5.98	6.74	0.981	0.331	0	300	27.523	-99	27.54	FALSE
3637	53.14287323	-27.79799838	26.545	0.15	15.7	0	0.533	68.5	6.366	5.96	6.73	0.976	0.328	0	300	26.749	-99	26.545	FALSE
9507	53.15616362	-27.7756857	26.223	0.024	29.54	0	0.344	-41.7	6.349	6.01	6.67	0.993	0.305	0	300	26.555	26.347	26.223	FALSE
22007	53.17321444	-27.79561262	26.531	0.023	18.3	0	0.353	21.8	6.344	6.02	6.66	0.995	0.239	0	300	26.522	26.444	26.531	FALSE
5337	53.14646159	-27.79046515	29.575	0.301	6.36	0.45	0.363	-68	6.34	0.92	6.97	0.747	0.321	0	300	29.499	30.094	29.575	FALSE
8737	53.15973205	-27.76936156	29.291	0.218	3.08	0.62	0.053	-20.7	6.32	0.84	6.99	0.622	0.147	0	300	29.554	29.577	29.291	FALSE
9586	53.15703694	-27.77264921	28.465	0.105	12.78	0	0.252	89.4	6.314	5.95	6.66	0.987	0.188	0	300	28.241	28.242	28.465	FALSE
5861	53.14385684	-27.79301606	27.95	0.062	16.42	0	0.228	76.5	6.311	5.98	6.64	0.993	0.056	0	300	27.711	27.903	27.95	FALSE
