#  ID	"RA	"	DEC	MAG_F160W	MAGERR_F160W	FWHM	STELLARITY	ELLIPTICITY	THETA	Z_BPZ	ZMIN_BPZ	ZMAX_BPZ	ODDS_BPZ	CHISQ2_BPZ	STAR	WEIGHT	NRS_F110W	NRS_F140X	NRS_CLEAR	REFERENCE
4117	53.13455053	-27.79607045	99	29.279	3.6	0.59	0.259	73.9	1.88	1.28	2.76	0.351	1	0	3.5344	29.489	-99	99	FALSE
438	53.16315834	-27.82148931	99	28.915	4.92	0.59	0.373	-29.4	0.95	0.4	3.9	0.081	0.218	0	0.9025	99	-99	99	FALSE
3249	53.13463321	-27.80010331	99	28.556	6.66	0.58	0.324	-40.9	4.43	0.4	4.99	0.567	0.233	0	19.6249	99	-99	99	FALSE
1949	53.18167286	-27.80730929	99	29.315	4.92	0.58	0.038	77.7	4.26	3.48	4.6	0.766	0.307	0	18.1476	29.13	-99	99	FALSE
1666	53.17460907	-27.80910627	99	29.271	4.4	0.58	0.04	-33.8	3.88	2.99	4.31	0.683	1.132	0	15.0544	28.958	-99	99	FALSE
1577	53.1540279	-27.80981784	99	28.773	5.34	0.58	0.053	9.8	3.83	3.01	4.24	0.713	0.334	0	14.6689	99	-99	99	FALSE
2259	53.14733465	-27.80535472	99	28.936	5.3	0.58	0.278	75	2.93	0.73	3.63	0.35	0.872	0	8.5849	29.507	-99	99	FALSE
20362	53.1657182	-27.81757263	99	28.669	4.75	0.58	0.199	55.4	2.46	1.47	2.76	0.384	0.329	0	6.0516	29.005	-99	99	FALSE
4706	53.19936286	-27.78761941	99	28.995	4.89	0.58	0.134	-13.3	2.21	0.71	2.85	0.281	0.479	0	4.8841	99	-99	99	FALSE
3701	53.1448967	-27.79793867	99	29.439	2.69	0.58	0.212	54.3	1.28	0.39	3.45	0.134	0.295	0	1.6384	99	-99	99	FALSE
3500	53.19259638	-27.79876627	99	28.987	4.91	0.57	0.255	7.4	4.85	0.72	5.3	0.853	1.413	0	23.5225	99	-99	99	FALSE
2189	53.13438776	-27.80579427	99	28.737	5.97	0.57	0.198	-64	4.33	0.71	4.73	0.628	0.721	0	18.7489	99	-99	99	FALSE
6063	53.12623935	-27.79379226	99	29.262	5.92	0.57	0.091	-22.1	3.98	3	4.4	0.659	0.326	0	15.8404	99	-99	99	FALSE
1905	53.15785786	-27.80766963	99	29.457	3.68	0.57	0.179	-32	3.77	2.94	4.22	0.714	0.529	0	14.2129	99	-99	99	FALSE
2449	53.17668223	-27.80433852	99	28.856	5.71	0.57	0.152	-19.3	3.18	0.93	3.62	0.436	1.174	0	10.1124	28.937	-99	99	FALSE
5224	53.18143902	-27.79018138	99	28.882	5.75	0.57	0.313	34.2	3.02	0.4	3.66	0.265	0.238	0	9.1204	99	-99	99	FALSE
4923	53.19524311	-27.78865527	99	29.113	5.21	0.57	0.039	34.7	2.48	1.31	2.93	0.301	0.504	0	6.1504	99	-99	99	FALSE
4102	53.19991748	-27.79610401	99	28.826	6.67	0.57	0.495	10.7	1.66	0.58	3.09	0.227	0.626	0	2.7556	28.556	-99	99	FALSE
7145	53.1979578	-27.7831765	99	28.765	4.66	0.56	0.204	15.4	4.83	0.43	5.31	0.654	1.151	0	23.3289	28.13	-99	99	FALSE
2269	53.18958927	-27.80527294	99	28.746	6.14	0.56	0.323	-14.4	3.39	0.49	3.86	0.527	0.823	0	11.4921	99	-99	99	FALSE
7338	53.16870476	-27.76131491	99	29.453	5.45	0.56	0.26	-89.2	2.56	0.28	3.27	0.247	1.072	0	6.5536	29.937	-99	99	FALSE
921	53.17892078	-27.81628553	99	29.068	6.32	0.56	0.167	0.7	2.11	1.1	2.58	0.363	0.948	0	4.4521	99	-99	99	FALSE
6513	53.19692308	-27.79559973	99	29.249	4.17	0.56	0.084	43.8	1.93	1.5	2.7	0.344	0.689	0	3.7249	99	-99	99	FALSE
3551	53.1405921	-27.79854882	99	28.852	4.53	0.55	0.209	-64.4	4.62	3.98	5.02	0.86	0.594	0	21.3444	99	-99	99	FALSE
10081	53.19122914	-27.781245	99	28.679	4.46	0.55	0.251	58.2	4.06	0.35	4.55	0.545	0.63	0	16.4836	99	-99	99	FALSE
7899	53.17505505	-27.76454566	99	29.145	3.89	0.55	0.289	-32.5	3.75	0.56	4.29	0.528	0.951	0	14.0625	29.291	-99	99	FALSE
850	53.1543485	-27.81690682	99	29.391	5.82	0.55	0.085	-2.8	3.31	2.89	3.59	0.869	2.221	0	10.9561	29.424	-99	99	FALSE
97	53.16824294	-27.82751277	99	28.433	6.09	0.55	0.281	35.2	3.2	0.38	3.79	0.36	0.434	0	10.24	99	-99	99	FALSE
1251	53.15820931	-27.81280865	99	28.996	5.92	0.55	0.353	5.8	1.76	1.06	2.86	0.271	0.609	0	3.0976	99	-99	99	FALSE
1863	53.14741311	-27.8078811	99	28.743	6.97	0.55	0.156	46.4	0.91	0.32	4.08	0.144	0.925	0	0.8281	99	-99	99	FALSE
1714	53.18039349	-27.80880209	99	29.156	5.95	0.55	0.037	83.5	0.61	0.15	3.41	0.21	0.98	0	0.3721	99	-99	99	FALSE
4126	53.19107385	-27.79601062	99	28.969	3.94	0.55	0.252	77.7	0.61	0.39	4.64	0.158	1.25	0	0.3721	99	-99	99	FALSE
3681	53.13225629	-27.79803856	99	29.161	4.14	0.54	0.017	-79.5	4.42	0.49	4.88	0.64	0.236	0	19.5364	99	-99	99	FALSE
2089	53.18650547	-27.80642751	99	28.743	3.99	0.54	0.219	79.8	3.79	2.41	4.28	0.642	0.591	0	14.3641	99	-99	99	FALSE
2932	53.17365939	-27.80170024	99	29.183	6.76	0.54	0.213	-88.5	3.54	0.31	4.35	0.284	0.657	0	12.5316	99	-99	99	FALSE
4843	53.20348444	-27.7882738	99	29.173	4.17	0.54	0.168	-1.2	2.83	1.21	3.3	0.409	0.456	0	8.0089	99	-99	99	FALSE
1469	53.17406627	-27.81071509	99	29.431	4.25	0.54	0.091	63.8	2.64	0.81	3.22	0.327	0.506	0	6.9696	99	-99	99	FALSE
1915	53.1631821	-27.80756455	99	31.285	3.83	0.54	0.143	65.7	2.54	1.63	2.92	0.551	0.983	0	6.4516	30.349	30.549	99	FALSE
3535	53.18468245	-27.79861396	99	29.702	5.16	0.54	0.178	71.5	2.14	0.82	2.52	0.288	2.49	0	4.5796	99	-99	99	FALSE
2409	53.17003544	-27.80455291	99	29.088	5.78	0.53	0.136	13.6	5.08	0.36	5.45	0.429	0.52	0	25.8064	99	-99	99	FALSE
6108	53.18627913	-27.79390721	99	29.155	6.65	0.53	0.429	26.5	4.89	0.8	5.36	0.827	0.675	0	23.9121	29.164	-99	99	FALSE
5969	53.13465545	-27.7933974	99	29.193	5.55	0.53	0.228	-59.5	4.35	0.49	4.79	0.6	0.285	0	18.9225	99	-99	99	FALSE
4438	53.19018758	-27.78627045	99	28.993	6.7	0.53	0.263	44.6	4	3.11	4.4	0.671	0.397	0	16	99	-99	99	FALSE
6009	53.19132602	-27.79339581	99	29.108	6.01	0.53	0.226	-15.1	3.31	0.49	3.72	0.49	0.227	0	10.9561	99	-99	99	FALSE
3713	53.1236292	-27.79790549	99	29.163	5.99	0.53	0.029	77.7	3.08	0.46	3.59	0.348	0.626	0	9.4864	29.279	-99	99	FALSE
1448	53.16775348	-27.81093589	99	29.311	4.91	0.53	0.186	-44.9	2.49	0.65	3.09	0.329	0.553	0	6.2001	99	-99	99	FALSE
5870	53.13605787	-27.79226193	99	28.546	4.82	0.53	0.284	-70.3	1.3	0.39	3.74	0.192	0.689	0	1.69	28.521	-99	99	FALSE
3544	53.14425058	-27.79858919	99	29.616	3.14	0.52	0.259	43.1	4.48	0.3	5.06	0.366	0.638	0	20.0704	99	-99	99	FALSE
5281	53.16417393	-27.79028626	99	30.997	4.87	0.52	0.082	44.6	4.18	0.52	4.65	0.591	2.248	0	17.4724	29.991	29.743	99	FALSE
358	53.16829207	-27.82262404	99	28.881	5.38	0.52	0.174	-53.5	1.02	0.56	2.68	0.242	0.648	0	1.0404	29.304	-99	99	FALSE
431	53.15346493	-27.82164426	99	29.323	4.28	0.51	0.259	-32	4.93	0.72	5.42	0.779	0.599	0	24.3049	30.067	-99	99	FALSE
1329	53.17593591	-27.81205712	99	29.18	4.43	0.51	0.171	-8.3	4.13	3.25	4.49	0.702	0.35	0	17.0569	29.44	-99	99	FALSE
3811	53.17708587	-27.79733726	99	29.341	4.56	0.51	0.221	-2.3	3.4	0.36	4.05	0.452	0.906	0	11.56	99	-99	99	FALSE
1219	53.16994355	-27.8131439	99	29.076	6.94	0.51	0.213	-31.4	3.28	0.52	3.67	0.545	0.604	0	10.7584	29.629	-99	99	FALSE
5727	53.13706043	-27.79234566	99	29.182	3.72	0.51	0.107	-74.8	3.04	0.46	3.51	0.405	0.317	0	9.2416	99	-99	99	FALSE
5252	53.18188291	-27.79029359	99	29.641	4.37	0.51	0.197	-16.4	2.48	1.14	3	0.329	0.651	0	6.1504	29.858	-99	99	FALSE
6181	53.19506135	-27.79420466	99	29.254	5.71	0.51	0.137	51.4	0.86	0.26	4.9	0.177	0.608	0	0.7396	99	-99	99	FALSE
22933	53.20156431	-27.79132621	99	28.824	5.98	0.51	0.225	-25.5	0.67	0.39	1.11	0.375	0.469	0	0.4489	28.914	-99	99	FALSE
4590	53.19440516	-27.78696002	99	28.874	7.37	0.5	0.336	64.2	4.15	0.61	4.56	0.624	0.437	0	17.2225	28.864	-99	99	FALSE
2361	53.13439507	-27.80485797	99	28.817	5.32	0.5	0.317	41.6	3.42	0.35	4.5	0.255	0.718	0	11.6964	99	-99	99	FALSE
7751	53.17119614	-27.763591	99	29.308	5.11	0.5	0.149	2.3	3.27	0.44	3.71	0.478	0.317	0	10.6929	99	-99	99	FALSE
4441	53.19639418	-27.78626945	99	29.41	6.11	0.5	0.294	34	3.03	0.4	3.49	0.321	0.273	0	9.1809	30.008	-99	99	FALSE
5382	53.19620914	-27.79078652	99	29.033	7.12	0.5	0.285	12.4	0.94	0.41	3.2	0.296	0.405	0	0.8836	99	-99	99	FALSE
3481	53.13291425	-27.79887945	99	28.906	5.57	0.49	0.114	-48.2	4.795	4.38	5.2	0.917	0.97	0	22.992025	99	-99	99	FALSE
2050	53.15106633	-27.80661957	99	29.073	6.25	0.49	0.172	0.9	2.77	0.65	3.26	0.371	0.679	0	7.6729	99	-99	99	FALSE
6668	53.15656738	-27.76021672	99	30.134	5.53	0.49	0.052	-34.8	2.578	2.28	2.85	0.89	2.435	0	6.646084	29.013	99	99	FALSE
9091	53.18285322	-27.77133777	99	29.171	7.45	0.49	0.095	-45.4	2.13	1.4	2.83	0.372	0.576	0	4.5369	99	-99	99	FALSE
10552	53.1212873	-27.78889073	99	29.397	4.67	0.49	0.127	54.3	1.74	1.47	2.98	0.303	1.969	0	3.0276	28.897	-99	99	FALSE
388	53.15954865	-27.82228153	99	29.478	5.96	0.49	0.178	26.2	1.2	0.39	3.46	0.105	0.317	0	1.44	30.26	-99	99	FALSE
1698	53.16749696	-27.80889645	99	29.229	5	0.48	0.232	85.7	4.3	0.25	4.95	0.418	1.118	0	18.49	28.791	-99	99	FALSE
4003	53.15671958	-27.79653293	99	30.882	7.28	0.48	0.451	-53.5	4.08	0.62	4.64	0.607	0.516	0	16.6464	30.361	30.024	99	FALSE
1316	53.17620314	-27.81224444	99	29.332	5.8	0.48	0.221	-24.4	3.4	0.33	4.03	0.376	0.418	0	11.56	99	-99	99	FALSE
3399	53.14289805	-27.79931996	99	29.338	4.93	0.48	0.227	-16.3	3.39	0.44	3.85	0.441	0.258	0	11.4921	99	-99	99	FALSE
3601	53.13104866	-27.79831995	99	28.423	5.62	0.48	0.118	16.8	2.53	0.67	3.26	0.233	0.146	0	6.4009	99	-99	99	FALSE
2243	53.14508345	-27.80545205	99	28.878	6.31	0.48	0.327	-27.7	1	0.37	4.85	0.232	0.51	0	1	29.143	-99	99	FALSE
8623	53.1871621	-27.77510913	99	29.134	5.11	0.47	0.21	42.9	3.49	0.49	4.06	0.436	0.862	0	12.1801	99	-99	99	FALSE
467	53.16605353	-27.82112012	99	28.672	5.04	0.47	0.265	-11.1	3.45	0.4	3.91	0.539	0.283	0	11.9025	29.573	-99	99	FALSE
3883	53.12547899	-27.79702134	99	28.761	6.6	0.47	0.203	-13.5	2.93	0.5	3.54	0.266	2.475	0	8.5849	28.045	-99	99	FALSE
2561	53.14612436	-27.80371729	99	28.455	5.76	0.47	0.1	-78.6	1.62	0.34	4.13	0.121	0.878	0	2.6244	28.27	-99	99	FALSE
3565	53.1329242	-27.79849183	99	29.221	4.42	0.47	0.21	76.7	0.96	0.44	3.22	0.205	0.479	0	0.9216	99	-99	99	FALSE
9371	53.13794829	-27.77457962	99	28.922	4.33	0.47	0.185	34	0.6	0.23	3.64	0.115	0.832	0	0.36	28.633	-99	99	FALSE
1084	53.15524736	-27.81465776	99	28.992	3.83	0.46	0.175	-45.9	4.36	0.34	4.72	0.684	1.81	0	19.0096	29.087	-99	99	FALSE
1803	53.14033137	-27.80827157	99	29.293	3.92	0.46	0.017	-85.1	4.24	3.38	4.58	0.742	0.627	0	17.9776	99	-99	99	FALSE
2327	53.13906686	-27.80498622	99	29.006	5.02	0.46	0.126	-72	3.45	0.64	3.85	0.517	0.919	0	11.9025	29.741	-99	99	FALSE
2419	53.1695316	-27.804507	99	29.387	5.65	0.46	0.282	35.9	2.97	0.43	3.57	0.232	0.407	0	8.8209	99	-99	99	FALSE
4835	53.13109738	-27.7882079	99	29.702	6.11	0.46	0.166	-0.5	2.68	0.49	3.38	0.237	0.426	0	7.1824	99	-99	99	FALSE
5902	53.12528193	-27.79314761	99	29.138	3.73	0.46	0.244	-65.3	1.74	1.11	2.97	0.268	0.896	0	3.0276	99	-99	99	FALSE
747	53.16895742	-27.81785515	99	28.945	7.79	0.46	0.317	-83.7	1.73	1.01	3.01	0.225	1.332	0	2.9929	99	-99	99	FALSE
2597	53.13378166	-27.8035292	99	29.042	3.73	0.46	0.147	39.9	1.59	0.82	2.69	0.213	0.626	0	2.5281	29.5	-99	99	FALSE
6544	53.19559173	-27.78311019	99	28.821	5.54	0.46	0.156	-81.3	1.39	0.48	3.09	0.215	0.585	0	1.9321	99	-99	99	FALSE
6734	53.16943606	-27.75886607	99	28.587	7	0.46	0.243	-57.3	1.16	0.45	4.29	0.375	1.248	0	1.3456	27.971	-99	99	FALSE
7335	53.16091395	-27.76168615	99	31.595	4.23	0.46	0.087	7.2	0.73	0.49	1.59	0.631	1.405	0	0.5329	29.929	30.738	99	FALSE
2128	53.16804771	-27.80618315	99	28.884	6.26	0.45	0.289	-56.2	4.84	4.34	5.28	0.888	0.746	0	23.4256	29.1	-99	99	FALSE
10663	53.19419262	-27.79441702	99	28.886	7.03	0.45	0.236	74.9	3.82	0.81	4.31	0.623	0.379	0	14.5924	99	-99	99	FALSE
10461	53.18349921	-27.78691816	99	29.686	6.4	0.45	0.181	66.4	3.697	3.31	4.06	0.873	1.216	0	13.667809	99	99	99	FALSE
136	53.16772089	-27.82654553	99	28.98	3.53	0.45	0.087	-42.5	3.64	0.32	4.2	0.502	0.735	0	13.2496	29.659	-99	99	FALSE
1345	53.15420992	-27.81191467	99	28.455	2.49	0.45	0.382	26.6	3.6	0.34	4.21	0.198	1.502	0	12.96	28.647	-99	99	FALSE
3602	53.19536914	-27.79829929	99	28.602	4.75	0.45	0.002	-82.9	3.34	0.43	3.8	0.332	1.331	0	11.1556	29.127	-99	99	FALSE
3110	53.13530455	-27.80075729	99	29.026	4.25	0.45	0.27	-49.9	3.1	0.31	3.61	0.293	0.615	0	9.61	99	-99	99	FALSE
3901	53.19862936	-27.79690576	99	29.225	4.55	0.45	0.067	76.3	2.86	1.9	3.19	0.774	0.344	0	8.1796	29.534	-99	99	FALSE
1003	53.15376683	-27.81547302	99	29.158	6.44	0.45	0.217	-62.1	1.984	1.05	2.78	0.312	0.757	0	3.936256	99	-99	99	FALSE
2608	53.1361543	-27.80346689	99	29.047	3.75	0.45	0.247	58.3	1.97	1.18	2.83	0.299	0.258	0	3.8809	99	-99	99	FALSE
5229	53.19152078	-27.79019764	99	29.365	7.16	0.45	0.131	34.9	1.7	0.96	2.77	0.256	0.156	0	2.89	29.451	-99	99	FALSE
6061	53.19181721	-27.7937655	99	28.769	4.95	0.45	0.242	-18.1	1.06	0.64	2.48	0.225	1.802	0	1.1236	27.93	-99	99	FALSE
9129	53.18470293	-27.77177345	99	28.782	6.84	0.45	0.298	-77.1	0.9	0.33	4.45	0.206	0.948	0	0.81	99	-99	99	FALSE
1669	53.16400453	-27.80908288	99	29.432	6.05	0.44	0.334	-39.5	4.63	0.48	5.09	0.732	0.746	0	21.4369	99	-99	99	FALSE
3577	53.1363028	-27.79842988	99	28.814	6.35	0.44	0.169	1.1	2.89	0.46	3.48	0.28	0.178	0	8.3521	99	-99	99	FALSE
1756	53.18569382	-27.80858168	99	28.774	4.55	0.44	0.427	-44.5	2.86	0.55	3.5	0.269	0.673	0	8.1796	28.962	-99	99	FALSE
7446	53.16488651	-27.76199405	99	30.83	4.02	0.44	0.167	-2.5	2.677	1.7	3.31	0.44	1.418	0	7.166329	29.608	29.412	99	FALSE
1715	53.14495853	-27.80881117	99	28.852	4.87	0.44	0.159	88.8	1.88	1.18	3.03	0.242	0.481	0	3.5344	29.269	-99	99	FALSE
5808	53.19546425	-27.79271979	99	28.924	6.36	0.44	0.041	-45.2	1.02	0.44	3.15	0.144	0.367	0	1.0404	99	-99	99	FALSE
321	53.170033	-27.82308745	99	28.419	7.82	0.44	0.317	-56.8	0.88	0.3	3.31	0.214	0.648	0	0.7744	99	-99	99	FALSE
1097	53.15457627	-27.81441684	99	29.01	6.28	0.44	0.157	4.9	0.84	0.35	5.47	0.18	1.088	0	0.7056	99	-99	99	FALSE
9553	53.1694583	-27.77619992	99	30.967	5.55	0.43	0.173	-61.9	4.08	0.61	4.62	0.605	0.649	0	16.6464	30.486	29.938	99	FALSE
2659	53.13936778	-27.80317673	99	29.03	4	0.43	0.183	-5	3.92	0.59	4.34	0.565	1.159	0	15.3664	28.713	-99	99	FALSE
8924	53.18299423	-27.77026666	99	28.468	7.91	0.43	0.667	-85.8	3.74	0.31	4.41	0.325	0.938	0	13.9876	99	-99	99	FALSE
516	53.16537283	-27.82045925	99	29.058	7.15	0.43	0.218	-42.7	2.74	0.69	3.28	0.29	0.338	0	7.5076	29.563	-99	99	FALSE
7167	53.19804253	-27.78219903	99	29.218	7.02	0.43	0.293	-38.6	2.5	0.46	3.43	0.22	1.512	0	6.25	99	-99	99	FALSE
2390	53.16997868	-27.80466249	99	29.547	5.3	0.43	0.179	-88.4	2.03	1.42	2.76	0.398	0.669	0	4.1209	99	-99	99	FALSE
4614	53.14009358	-27.78715401	99	31.316	6.25	0.43	0.126	46.9	1.06	0.54	2.68	0.251	1.548	0	1.1236	30.142	29.946	99	FALSE
1504	53.17064313	-27.81042066	99	29.387	7.03	0.43	0.129	-59.8	0.88	0.29	5.08	0.24	0.959	0	0.7744	29.321	-99	99	FALSE
2036	53.14563932	-27.80674961	99	28.943	5.72	0.42	0.434	14.7	3.74	0.37	4.27	0.502	0.571	0	13.9876	99	-99	99	FALSE
4015	53.13325949	-27.79647635	99	29.346	4.16	0.42	0.127	-44.2	3.73	2.89	4.15	0.714	2.626	0	13.9129	99	-99	99	FALSE
3586	53.14257713	-27.7983814	99	29.271	6.2	0.42	0.308	-27.3	2.54	0.52	3.38	0.22	0.689	0	6.4516	99	-99	99	FALSE
3031	53.14858268	-27.80110557	99	29.18	4.81	0.42	0.104	-87.2	2.12	1.64	2.64	0.496	0.468	0	4.4944	29.26	-99	99	FALSE
383	53.17219442	-27.82234844	99	28.917	7.07	0.41	0.307	-2.6	5.57	0.71	6.1	0.511	1.011	0	300	28.607	-99	99	FALSE
3692	53.1859359	-27.79795123	99	29.084	7.83	0.41	0.408	86.9	4.25	3.18	4.63	0.702	0.512	0	18.0625	29.019	-99	99	FALSE
2194	53.15327241	-27.80576564	99	29	5.82	0.41	0.403	89.4	3.67	2.39	4.14	0.645	0.574	0	13.4689	99	-99	99	FALSE
4267	53.16163725	-27.75252341	99	28.607	8.25	0.41	0.424	87.1	1.695	0.58	2.95	0.216	0.52	0	2.873025	28.5	-99	99	FALSE
2333	53.16232671	-27.804956	99	30.56	6.85	0.41	0.19	-57.6	0.93	0.22	3.36	0.275	1.175	0	0.8649	30.261	99	99	FALSE
6428	53.19878246	-27.79526303	99	28.739	6.64	0.4	0.294	58.9	5.34	0.45	5.71	0.485	1.02	0	28.5156	28.355	-99	99	FALSE
1740	53.16736958	-27.80866403	99	29.172	6.9	0.4	0.327	-5.6	3.57	2.69	3.98	0.71	0.607	0	12.7449	29.527	-99	99	FALSE
1999	53.1354438	-27.80703081	99	29.169	5.83	0.4	0.174	-0.6	3.44	0.4	3.96	0.5	0.481	0	11.8336	99	-99	99	FALSE
630	53.17217987	-27.81906616	99	29.421	6.87	0.4	0.1	-43	3.001	2.57	3.38	0.787	0.962	0	9.006001	99	-99	99	FALSE
1830	53.14605649	-27.80809799	99	28.936	3.94	0.4	0.048	-73.4	2.68	0.53	3.37	0.238	0.406	0	7.1824	99	-99	99	FALSE
265	53.16741286	-27.82393256	99	28.837	3.64	0.4	0.267	-34.6	2.4	0.87	3.1	0.285	0.327	0	5.76	99	-99	99	FALSE
808	53.17131217	-27.8174126	99	29.283	4.62	0.4	0.047	-60	1.71	0.94	2.78	0.355	1.839	0	2.9241	29.974	-99	99	FALSE
1421	53.18344188	-27.81112575	99	28.672	6.14	0.39	0.321	67.9	4.25	0.26	4.95	0.396	0.324	0	18.0625	29.307	-99	99	FALSE
4395	53.16075031	-27.75666104	99	29.349	7.18	0.39	0.042	-48.2	4.17	0.4	4.66	0.59	0.691	0	17.3889	99	-99	99	FALSE
6405	53.19976957	-27.79514752	99	28.435	5.3	0.39	0.288	16.3	3.08	0.4	3.78	0.26	0.287	0	9.4864	28.866	-99	99	FALSE
1547	53.1614285	-27.81006842	99	29.306	3.9	0.39	0.083	-38.7	2.927	2.5	3.34	0.742	0.209	0	8.567329	99	-99	99	FALSE
965	53.16063627	-27.81592133	99	29.528	6.32	0.39	0.167	87.9	1.68	0.55	3.28	0.179	0.591	0	2.8224	30.287	-99	99	FALSE
1456	53.16313562	-27.81083838	99	29.294	5.54	0.39	0.092	66.9	0.61	0.16	3.18	0.124	0.977	0	0.3721	99	-99	99	FALSE
9421	53.13977389	-27.7751142	99	28.725	6.34	0.38	0.62	-54.9	3.14	0.29	3.7	0.275	0.736	0	9.8596	99	-99	99	FALSE
2044	53.15048401	-27.80667505	99	29.247	4.05	0.38	0.035	-28.9	2.79	0.94	3.35	0.328	0.605	0	7.7841	99	-99	99	FALSE
333	53.16384343	-27.82301203	99	28.963	5.27	0.38	0.269	1.8	2.74	0.91	3.29	0.297	0.237	0	7.5076	99	-99	99	FALSE
1012	53.15878574	-27.8154293	99	28.6	6.07	0.38	0.084	32.8	2.27	0.79	2.96	0.284	0.39	0	5.1529	99	-99	99	FALSE
3548	53.1909415	-27.79854713	99	29.221	4.99	0.38	0.373	63.6	1.85	0.76	2.91	0.259	0.961	0	3.4225	28.953	-99	99	FALSE
9313	53.14531686	-27.77368818	99	31.048	5.06	0.38	0.113	-36.3	1.7	0.63	3.33	0.401	2.421	0	2.89	29.909	29.593	99	FALSE
5835	53.20155419	-27.79285051	99	29.032	7.24	0.38	0.505	86.8	1.59	1.24	2.23	0.398	3.208	0	2.5281	28.881	-99	99	FALSE
1782	53.15358909	-27.80840924	99	29.019	6.22	0.38	0.295	-29	1.08	0.71	2.67	0.175	0.213	0	1.1664	29.288	-99	99	FALSE
5752	53.19332351	-27.79245092	99	29.414	4.07	0.37	0.028	69.6	4.534	4.19	4.84	0.959	1.486	0	20.557156	28.641	-99	99	FALSE
6287	53.12133702	-27.79471334	99	29.133	4.52	0.37	0.056	-68.1	4.17	0.44	4.5	0.513	0.6	0	17.3889	29.461	-99	99	FALSE
4896	53.12869064	-27.78857524	99	29.19	4.31	0.37	0.091	-0.4	3.37	0.36	4.13	0.448	1.546	0	11.3569	99	-99	99	FALSE
24438	53.13870595	-27.77407987	99	28.791	6.95	0.37	0.217	13.8	2.42	1.76	2.69	0.496	1.088	0	5.8564	27.956	-99	99	FALSE
2578	53.13436969	-27.80362573	99	28.821	5.05	0.37	0.22	-48.5	2.1	1.11	2.78	0.327	0.315	0	4.41	99	-99	99	FALSE
987	53.16340808	-27.815734	99	29.02	4.59	0.37	0.117	44.6	1.02	0.57	2.94	0.163	0.467	0	1.0404	99	-99	99	FALSE
707	53.15016917	-27.81823405	99	29.005	3.75	0.36	0.173	38.3	4.27	0.38	4.61	0.384	1.8	0	18.2329	28.768	-99	99	FALSE
7771	53.16770758	-27.764293	99	30.686	5.21	0.36	0.089	-66.7	3.81	3.26	4.29	0.757	0.868	0	14.5161	29.826	99	99	FALSE
7634	53.15072735	-27.76327283	99	29.023	5.21	0.36	0.345	-17.9	3.42	0.31	4.22	0.363	1.114	0	11.6964	29.22	-99	99	FALSE
5743	53.19781644	-27.79236827	99	29.191	5.52	0.36	0.227	59	2.91	0.46	3.45	0.298	0.231	0	8.4681	99	-99	99	FALSE
1246	53.14757712	-27.81287543	99	29.409	5.8	0.36	0.308	63.8	2.8	1.35	3.3	0.385	2.435	0	7.84	29.854	-99	99	FALSE
344	53.15902195	-27.82282336	99	28.892	4.98	0.36	0.124	45.7	2.73	1	3.2	0.287	0.416	0	7.4529	29.422	-99	99	FALSE
3803	53.19742169	-27.79738053	99	29.264	7.05	0.36	0.073	-34.3	1.32	0.72	2.19	0.577	1.981	0	1.7424	29.288	-99	99	FALSE
3556	53.18804571	-27.79852356	99	29.035	6.53	0.36	0.224	-87.5	0.85	0.33	3.81	0.177	0.475	0	0.7225	99	-99	99	FALSE
3195	53.14071955	-27.80032308	99	29.043	6.73	0.35	0.189	-32.5	5.09	0.67	5.49	0.816	0.359	0	25.9081	29.629	-99	99	FALSE
2704	53.17329548	-27.80291322	99	29.092	6.69	0.35	0.115	13.2	4.99	0.55	5.48	0.705	0.783	0	24.9001	99	-99	99	FALSE
3243	53.19098992	-27.80012521	99	28.531	7.21	0.35	0.433	-50.1	4.33	0.31	4.76	0.585	0.493	0	18.7489	28.811	-99	99	FALSE
1330	53.18045639	-27.8120542	99	28.889	4.76	0.35	0.283	42.8	3.49	0.42	4.03	0.44	0.233	0	12.1801	99	-99	99	FALSE
3545	53.16071259	-27.79859119	99	30.832	4.91	0.35	0.299	-25.2	3.31	0.38	3.71	0.613	2.144	0	10.9561	30.477	99	99	FALSE
8208	53.1353237	-27.77785493	99	28.631	6.29	0.35	0.29	32.7	2.88	0.48	3.53	0.3	0.416	0	8.2944	99	-99	99	FALSE
2824	53.18515009	-27.80230385	99	28.888	6.92	0.35	0.077	-24.8	2.84	0.58	3.38	0.309	0.427	0	8.0656	99	-99	99	FALSE
10366	53.18555942	-27.78520831	99	29.349	5.54	0.35	0.008	-48.6	2.55	1.59	3.07	0.435	1.113	0	6.5025	99	-99	99	FALSE
2425	53.13795851	-27.80447067	99	29.331	6.9	0.35	0.385	82.5	2.54	0.59	3.29	0.253	0.498	0	6.4516	99	-99	99	FALSE
7757	53.15027634	-27.76350202	99	29.613	4.49	0.35	0.19	84.1	2.21	1.47	2.73	0.423	0.233	0	4.8841	29.843	-99	99	FALSE
1338	53.16925834	-27.81195924	99	28.858	3.79	0.35	0.278	-20.5	2.1	0.81	2.91	0.271	0.449	0	4.41	99	-99	99	FALSE
3279	53.13357971	-27.79996044	99	29.167	4.27	0.35	0.071	25.1	2.02	1.3	2.55	0.393	0.809	0	4.0804	99	-99	99	FALSE
